InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
100001,D029,Handcrafted Daraz Mug,10,10/09/2021 20:06,1354.15,300,Pakistan
100002,D003,Daraz Calligraphy Art Piece,3,28/09/2021 0:28,424.31,893,Pakistan
100003,D005,Traditional Daraz Pottery Bowl,3,24/03/2021 19:31,1139.47,133,Pakistan
100004,D041,Handwoven Daraz Pashmina Shawl,6,24/05/2021 6:02,529.44,610,Pakistan
100005,D016,Daraz Printed T-shirt,9,12/01/2021 19:22,482.36,184,Pakistan
100006,D019,Daraz Ceramic Vase,8,17/12/2021 12:05,565.24,535,Pakistan
100007,D020,Daraz Ceramic Vase,10,28/02/2021 19:36,343.75,871,Pakistan
100008,D032,Miniature Daraz Truck Figurine,2,13/09/2021 2:39,989.38,323,Pakistan
100009,D024,Hand-painted Daraz Ceramic Plate,5,30/12/2021 14:38,1701.27,668,Pakistan
100010,D036,Daraz Handmade Notebook,10,16/09/2021 7:41,1277.99,882,Pakistan
100011,D046,Miniature Daraz Truck Figurine,10,26/10/2021 10:21,144.77,712,Pakistan
100012,D018,Wooden Daraz Keychain Set,7,30/08/2021 23:48,50.24,381,Pakistan
100013,D016,Daraz Calligraphy Art Piece,8,06/04/2021 17:15,628.95,958,Pakistan
100014,D033,Daraz Printed T-shirt,9,08/04/2021 19:51,631.22,722,Pakistan
100015,D044,Hand-painted Daraz Ceramic Plate,6,13/09/2021 18:47,130.13,970,Pakistan
100016,D003,Daraz Ceramic Vase,6,27/04/2021 10:30,505.92,640,Pakistan
100017,D026,Daraz Embroidered Towel,9,24/06/2021 0:44,1454.51,220,Pakistan
100018,D017,Daraz Artisanal Clock,7,16/03/2021 17:42,1727.68,315,Pakistan
100019,D049,Handcrafted Daraz Mug,2,05/10/2021 18:08,591.89,546,Pakistan
100020,D036,Handcrafted Daraz Mug,5,13/07/2021 22:11,1058.46,348,Pakistan
100021,D020,Daraz Handmade Notebook,3,04/12/2021 13:33,916.66,679,Pakistan
100022,D033,Daraz Model Car,2,02/04/2021 16:53,392.31,743,Pakistan
100023,D005,Daraz Calligraphy Art Piece,4,15/10/2021 21:53,1388.55,230,Pakistan
100024,D019,Daraz Model Car,6,07/03/2021 5:43,1050.58,279,Pakistan
100025,D020,Daraz Handmade Notebook,9,11/08/2021 12:11,1197.11,922,Pakistan
100026,D032,Daraz Printed T-shirt,9,04/07/2021 20:14,969.52,217,Pakistan
100027,D001,Daraz Leather Wallet,2,16/10/2021 3:18,718.91,292,Pakistan
100028,D025,Miniature Daraz Truck Figurine,4,15/11/2021 0:09,423.66,312,Pakistan
100029,D029,Daraz Embroidered Towel,2,14/11/2021 8:26,1029.98,554,Pakistan
100030,D044,Miniature Daraz Truck Figurine,7,22/04/2021 16:56,303.68,868,Pakistan
100031,D040,Daraz Printed T-shirt,2,26/05/2021 5:46,681.39,637,Pakistan
100032,D030,Wooden Daraz Keychain Set,7,30/03/2021 14:25,151.03,917,Pakistan
100033,D012,Handwoven Daraz Pashmina Shawl,9,26/12/2021 16:30,534.84,809,Pakistan
100034,D010,Daraz Leather Wallet,4,13/02/2021 0:13,728.54,707,Pakistan
100035,D036,Daraz Embroidered Towel,9,15/06/2021 17:38,1755.84,259,Pakistan
100036,D012,Daraz Model Car,8,27/12/2021 9:34,910.62,213,Pakistan
100037,D036,Daraz Artisanal Clock,4,23/07/2021 2:24,1560.26,777,Pakistan
100038,D035,Handcrafted Daraz Mug,7,26/04/2021 10:49,153.12,777,Pakistan
100039,D003,Daraz Handmade Notebook,7,19/09/2021 4:49,974.44,731,Pakistan
100040,D033,Daraz Wooden Frame,4,28/02/2021 5:22,1852.76,108,Pakistan
100041,D035,Daraz Decorative Lamp,2,15/11/2021 18:41,242.91,461,Pakistan
100042,D017,Daraz Wooden Frame,6,26/10/2021 11:49,687.62,481,Pakistan
100043,D031,Daraz Leather Wallet,6,20/05/2021 15:20,391.92,464,Pakistan
100044,D017,Embroidered Daraz Cushion Cover,1,18/10/2021 13:31,1848.06,246,Pakistan
100045,D039,Traditional Daraz Pottery Bowl,9,20/07/2021 12:44,430.47,605,Pakistan
100046,D050,Traditional Daraz Pottery Bowl,7,09/08/2021 14:33,1781.22,789,Pakistan
100047,D030,Traditional Daraz Pottery Bowl,9,19/01/2021 14:02,1905.34,438,Pakistan
100048,D042,Hand-painted Daraz Ceramic Plate,4,07/08/2021 19:57,1997.32,234,Pakistan
100049,D050,Handwoven Daraz Pashmina Shawl,7,19/05/2021 8:28,1656.69,436,Pakistan
100050,D003,Handwoven Daraz Pashmina Shawl,7,13/07/2021 0:16,1456.56,390,Pakistan
100051,D018,Daraz Model Car,4,04/10/2021 5:32,624.5,713,Pakistan
100052,D010,Handcrafted Daraz Decorative Figurine,3,04/05/2021 21:25,420.3,553,Pakistan
100053,D003,Daraz Artisanal Clock,1,14/05/2021 7:34,951.85,380,Pakistan
100054,D021,Daraz Wooden Frame,6,29/05/2021 3:41,1740.08,635,Pakistan
100055,D010,Daraz Leather Wallet,7,11/07/2021 5:06,733.65,236,Pakistan
100056,D029,Wooden Daraz Keychain Set,2,04/07/2021 10:15,241.21,117,Pakistan
100057,D013,Daraz Ceramic Vase,4,08/08/2021 6:40,1165.75,491,Pakistan
100058,D025,Daraz Embroidered Towel,4,19/05/2021 13:18,1700.53,927,Pakistan
100059,D037,Wooden Daraz Keychain Set,10,14/08/2021 14:57,741.92,292,Pakistan
100060,D041,Wooden Daraz Keychain Set,1,10/10/2021 11:54,106.75,968,Pakistan
100061,D037,Handwoven Daraz Pashmina Shawl,6,25/12/2021 12:54,771.53,481,Pakistan
100062,D026,Daraz Artisanal Clock,4,05/07/2021 5:59,605.51,625,Pakistan
100063,D039,Traditional Daraz Pottery Bowl,4,05/12/2021 7:22,1999.27,620,Pakistan
100064,D041,Daraz Decorative Lamp,8,18/05/2021 21:41,1528.03,536,Pakistan
100065,D049,Embroidered Daraz Cushion Cover,4,07/04/2021 20:01,1579.75,781,Pakistan
100066,D007,Daraz Embroidered Towel,8,01/01/2021 16:33,1062.12,391,Pakistan
100067,D030,Wooden Daraz Jewelry Box,8,30/07/2021 14:39,1960.79,616,Pakistan
100068,D014,Miniature Daraz Truck Figurine,7,25/01/2021 15:49,1007.46,139,Pakistan
100069,D021,Daraz Artisanal Clock,5,26/01/2021 14:58,140.74,152,Pakistan
100070,D036,Handcrafted Daraz Mug,3,04/10/2021 23:50,549.53,132,Pakistan
100071,D012,Hand-painted Daraz Ceramic Plate,9,12/11/2021 14:28,1839.67,223,Pakistan
100072,D029,Daraz Handmade Notebook,1,27/04/2021 8:05,744.26,969,Pakistan
100073,D009,Daraz Artisanal Clock,10,07/04/2021 9:39,149.7,855,Pakistan
100074,D049,Wooden Daraz Keychain Set,9,18/03/2021 13:23,1655.02,791,Pakistan
100075,D043,Wooden Daraz Keychain Set,2,03/10/2021 9:29,965.11,113,Pakistan
100076,D037,Daraz Model Car,2,16/12/2021 7:37,243.85,665,Pakistan
100077,D006,Miniature Daraz Truck Figurine,10,18/11/2021 9:03,335.07,391,Pakistan
100078,D022,Daraz Silk Scarf,2,29/03/2021 18:07,1862.62,181,Pakistan
